State,ADD,ASG,COMMA,ELSE,FLOAT,FLOAT_NUM,ID,IF,INT,INT_NUM,LBR,LBRACK,LPAR,MUL,PRINT,RBR,RBRACK,REL_OP,RETURN,RPAR,SEMI,VOID,WHILE,END,AddExpr,ArgList,CompStmt,Decl,DeclList,Expr,ExprStmt,Fact,FunDecl,IfStmt,LoopStmt,OtherStmt,Param,ParamList,PrintStmt,RetStmt,SimpExpr,Stmt,StmtList,Term,Type,VarDecl
50,,,s58,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,r52,,,,,,,,,,,,,,,,,r52,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,r36,,,,,,,,,,,,,,r36,,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,r16,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,s7,s25,s24,s71,s6,s21,s42,,s23,,s75,s74,,,s62,,s73,s1,s72,,22,,63,,,68,65,27,,64,60,66,,,61,67,19,76,,20,69,70
56,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,77,,27,,,,,,,,,19,,,20,,
57,,,r38,,,,,,,,,,,,,,r38,,,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,78,,27,,,,,,,,,19,,,20,,
59,r47,s79,r47,,,,,,,,,,,r47,,,r47,r47,,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,r25,r25,r25,r25,r25,r25,r25,,r25,,r25,r25,,,r25,,r25,r25,r25,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,r27,r27,r27,r27,r27,r27,r27,,r27,,r27,r27,,,r27,,r27,r27,r27,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,s25,s24,,,s21,,,s23,,,,,,,,s81,,,,22,,,,,80,,27,,,,,,,,,19,,,20,,
